"year","PAsum.nat","PAsum.reg","PAratio","PAratio2","PAno.nat","PAno.reg","PAno.reg2","PAratio.no","PAratio.no2","VAagr","VAind","VAser","GDPcap","POPdens","ENVexp","ENVinc","BIODIVexp","BIODIVinc","ENGOmem"
1995,623.36003,3.2817,0.00526453388421455,0.00526453388421455,22,1,1,0.0454545454545455,0.0454545454545455,3919434359.29447,27799037950.827,77956243298.9724,12383.8324791235,109.575694,552759.375056037,217363.259387768,57623.736869355,7675.52479654866,".."
1996,623.41404,3.2817,0.00526407778689104,0.00526407778689104,23,1,1,0.0434782608695652,0.0434782608695652,4110711457.0563,29933818076.5676,79059005156.5499,12768.7586731452,109.9884699,633006.109026145,294130.958307523,51760.2128196716,12683.436116044,".."
1997,623.43396,3.2817,0.0052639095887558,0.0052639095887558,27,1,1,0.037037037037037,0.037037037037037,3785829751.21472,31843495890.4857,82398088538.2902,13274.5291148097,110.480623,663297.471914051,304035.429795382,42778.5507237724,9449.70012916552,".."
1998,710.43457,3.2817,0.0046192853481215,0.0046192853481215,28,1,1,0.0357142857142857,0.0357142857142857,3635861322.74691,33068487505.3756,86068730463.3594,13840.4901570634,111.0403934,468351.966093329,177461.259798302,54985.0912056954,10489.1365279521,"15"
1999,710.43457,10.36029,0.0145830319039796,0.0145830319039796,28,3,3,0.107142857142857,0.107142857142857,3857371576.47451,33726632385.4118,89291674422.4857,14297.5399478167,111.6702514,552257.99114012,203793.441821062,62361.6963514487,8792.90373023193,"16"
2000,742.19138,10.70587,0.0144246757487267,0.0144246757487267,30,4,4,0.133333333333333,0.133333333333333,3665595581.91108,35034740235.6913,92891711650.4169,14735.1189207751,112.4579016,592876.037043714,198091.788196498,56756.1574822912,11372.0498944343,"16"
2001,742.19138,10.70587,0.0144246757487267,0.0144246757487267,30,4,4,0.133333333333333,0.133333333333333,3566115526.93569,35769016792.6854,95191980590.1269,14915.9126298966,113.2537923,622145.915463874,233264.088003174,63935.2631882672,13785.2178268714,"14"
2002,742.19138,10.70587,0.0144246757487267,0.0144246757487267,30,4,4,0.133333333333333,0.133333333333333,3713988588.51583,35111570368.8133,96631353620.4163,14948.487976341,113.8757486,629765.047400145,221389.632986928,49502.8029247436,17754.0728492669,"13"
2003,742.19138,10.70587,0.0144246757487267,0.0144246757487267,30,4,4,0.133333333333333,0.133333333333333,3636559778.91102,34390364911.5516,96324865048.7493,14753.3499120651,114.3040546,634450.074352357,230861.670516059,52276.4760573502,9837.81319586386,"13"
2004,742.19138,10.70587,0.0144246757487267,0.0144246757487267,30,4,4,0.133333333333333,0.133333333333333,3847892534.03467,34668350301.9955,98119668543.04,14984.7432716933,114.5777158,627195.474582414,249762.641096328,53991.8975424069,7783.83534002432,"15"
2005,742.19138,10.70587,0.0144246757487267,0.0144246757487267,30,4,4,0.133333333333333,0.133333333333333,3633765955.85923,33825014867.905,99837448731.362,15071.6584321264,114.8281404,640613,298052,61097,9787,"15"
2006,742.19138,10.70587,0.0144246757487267,0.0144246757487267,30,4,4,0.133333333333333,0.133333333333333,3736838068.92944,33997932556.4677,101699647618.375,15278.1473648401,115.0353996,507849.963021269,134958.05044483,83481.7741540324,10079.9147093265,"18"
2007,742.30906,10.70587,0.0144223889709766,0.0144223889709766,31,4,4,0.129032258064516,0.129032258064516,3578288612.74607,34733107128.186,105077440515.543,15628.1676877604,115.2614409,540527.364723793,151311.82528477,112860.629838204,10502.6027016415,"18"
2008,742.30906,10.70587,0.0144223889709766,0.0144223889709766,31,4,4,0.129032258064516,0.129032258064516,3705307781.11902,33836489497.5513,106636360135.304,15636.7508600936,115.4277577,563643.835571936,173738.967401666,115415.578056209,12957.6697903469,"18"
2009,743.2744,11.205618,0.0150760176860659,0.014914384243558,32,7,5,0.21875,0.15625,3579485965.71179,30848096659.435,106102813276.251,15156.6152750053,115.3864723,571802.544283745,176755.55447042,117767.192228584,13004.7246357664,"18"
2010,743.2744,13.418028,0.0180525899990636,0.0178909565565557,32,11,9,0.34375,0.28125,3600938535.40184,31470021620.2815,108038023838.713,15437.3012477776,115.4394585,548165.604417371,167070.453142248,114821.389036755,8490.43882447135,"20"
2011,743.2744,13.418028,0.0180525899990636,0.0178909565565557,32,11,9,0.34375,0.28125,3631171691.36761,30988785604.8255,106850581205.03,15177.599953786,115.2697893,539381.097845958,183111.29959019,105756.030487816,7702.07135116674,"20"
2012,743.2744,13.418028,0.0180525899990636,0.0178909565565557,32,11,9,0.34375,0.28125,3608821106.95328,29206226738.1593,104092184060.027,14625.3804068756,114.8034065,521440.012018855,192639.398683843,102063.251237059,9156.00241557749,"20"
2013,743.2744,38.185488,0.0513746847732143,0.0178909565565557,32,12,9,0.375,0.28125,3680163373.65289,28518247819.2777,103078846190.877,14469.8652894472,114.1626092,530277.808630461,202618.466172186,104707.141370816,11701.7676695076,"20"
2014,743.2744,38.185488,0.0513746847732143,0.0178909565565557,32,12,9,0.375,0.28125,3730951085.38675,28659036543.5471,103805753640.956,14682.9179798071,113.5086572,526735.415168584,197335.682869284,116602.465431311,8360.76732954551,"21"
